aplha,p,days,mis
0.2,0.0,1,1678
0.2,0.0,5,0
0.2,0.0,10,112
0.2,0.0,50,0
0.2,0.0,100,0
0.2,0.0,500,0
0.2,0.0,1000,0
0.3,0.0,1,1702
0.3,0.0,5,0
0.3,0.0,10,112
0.3,0.0,50,0
0.3,0.0,100,0
0.3,0.0,500,0
0.3,0.0,1000,0
0.4,0.1,1,3192
0.4,0.1,5,0
0.4,0.1,10,0
0.4,0.1,50,112
0.4,0.1,100,0
0.4,0.1,500,0
0.4,0.1,1000,0
0.4,0.5,1,1559
0.4,0.5,5,0
0.4,0.5,10,112
0.4,0.5,50,0
0.4,0.5,100,0
0.4,0.5,500,0
0.4,0.5,1000,0
0.5,0.5,1,2985
0.5,0.5,5,469
0.5,0.5,10,112
0.5,0.5,50,0
0.5,0.5,100,0
0.5,0.5,500,0
0.5,0.5,1000,0
0.5,0.6,1,1230
0.5,0.6,5,919
0.5,0.6,10,112
0.5,0.6,50,0
0.5,0.6,100,0
0.5,0.6,500,0
0.5,0.6,1000,0
0.5,0.8,1,3313
0.5,0.8,5,0
0.5,0.8,10,112
0.5,0.8,50,0
0.5,0.8,100,0
0.5,0.8,500,0
0.5,0.8,1000,0
0.6,0.6,1,1611
0.6,0.6,5,0
0.6,0.6,10,509
0.6,0.6,50,0
0.6,0.6,100,0
0.6,0.6,500,0
0.6,0.6,1000,0
