aplha,p,days,mis
0.0,0.1,1,10
0.0,0.1,5,6
0.0,0.1,10,0
0.0,0.1,50,1
0.0,0.1,100,0
0.0,0.1,500,0
0.0,0.1,1000,0
0.0,0.9,1,0
0.0,0.9,5,5
0.0,0.9,10,0
0.0,0.9,50,0
0.0,0.9,100,0
0.0,0.9,500,0
0.0,0.9,1000,0
0.1,0.4,1,11
0.1,0.4,5,0
0.1,0.4,10,0
0.1,0.4,50,1
0.1,0.4,100,0
0.1,0.4,500,0
0.1,0.4,1000,0
0.1,0.7,1,10
0.1,0.7,5,4
0.1,0.7,10,0
0.1,0.7,50,2
0.1,0.7,100,0
0.1,0.7,500,0
0.1,0.7,1000,0
0.1,0.8,1,8
0.1,0.8,5,5
0.1,0.8,10,0
0.1,0.8,50,2
0.1,0.8,100,0
0.1,0.8,500,0
0.1,0.8,1000,0
0.2,0.5,1,10
0.2,0.5,5,3
0.2,0.5,10,0
0.2,0.5,50,0
0.2,0.5,100,1
0.2,0.5,500,0
0.2,0.5,1000,0
0.3,0.0,1,6
0.3,0.0,5,4
0.3,0.0,10,0
0.3,0.0,50,1
0.3,0.0,100,0
0.3,0.0,500,0
0.3,0.0,1000,0
0.5,0.5,1,10
0.5,0.5,5,9
0.5,0.5,10,0
0.5,0.5,50,0
0.5,0.5,100,0
0.5,0.5,500,0
0.5,0.5,1000,0
