Name,Year Published,Users Rated,Rating Average
Gloomhaven,2017,42055,8.79
Pandemic Legacy: Season 1,2015,41643,8.61
Brass: Birmingham,2018,19217,8.66
Terraforming Mars,2016,64864,8.43
Twilight Imperium: Fourth Edition,2017,13468,8.7
Gloomhaven: Jaws of the Lion,2020,8392,8.87
Through the Ages: A New Story of Civilization,2015,23061,8.43
Gaia Project,2017,16352,8.49
Star Wars: Rebellion,2016,23081,8.42
Twilight Struggle,2005,40814,8.29
Great Western Trail,2016,29457,8.3
War of the Ring: Second Edition,2012,13725,8.49
Spirit Island,2017,25722,8.35
Scythe,2016,57871,8.24
The Castles of Burgundy,2011,46507,8.13
Terra Mystica,2012,39284,8.14
7 Wonders Duel,2015,60302,8.11
Concordia,2013,28105,8.12
Brass: Lancashire,2007,19400,8.17
Wingspan,2019,43165,8.11
A Feast for Odin,2016,17377,8.2
Arkham Horror: The Card Game,2016,28577,8.17
Viticulture Essential Edition,2015,29486,8.08
Nemesis,2018,12290,8.4
Orléans,2014,22244,8.09
Mage Knight Board Game,2011,27850,8.1
Root,2018,24412,8.1
Puerto Rico,2002,63128,7.99
Food Chain Magnate,2015,13863,8.14
Caverna: The Cave Farmers,2013,28123,8.02
Agricola,2007,63498,7.94
Blood Rage,2015,33940,8.0
Mansions of Madness: Second Edition,2016,25116,8.06
The 7th Continent,2017,16868,8.15
Pandemic Legacy: Season 2,2017,12100,8.15
Everdell,2018,19552,8.08
Maracaibo,2019,7645,8.29
Kingdom Death: Monster,2015,7553,8.66
Power Grid,2004,56214,7.86
Tzolk'in: The Mayan Calendar,2012,30790,7.9
The Crew: The Quest for Planet Nine,2019,15027,8.02
Mechs vs. Minions,2016,14056,8.05
Underwater Cities,2018,9979,8.13
Star Wars: Imperial Assault,2014,20512,8.02
Clans of Caledonia,2017,14835,8.01
Anachrony,2017,11585,8.1
Le Havre,2008,26494,7.87
Too Many Bones,2017,6055,8.45
Through the Ages: A Story of Civilization,2006,18004,7.93
Azul,2017,53615,7.83
Marvel Champions: The Card Game,2019,9616,8.2
Eclipse,2011,26165,7.89
Clank! Legacy: Acquisitions Incorporated,2019,3295,8.79
Android: Netrunner,2012,26748,7.87
Robinson Crusoe: Adventures on the Cursed Island,2012,34179,7.84
